,date,year,month,type,region,plu,average_unit_price,volume_sold
0,2015-01-04,2015,1,conventional,California,plu4046,0.93,2.8436482599999997
1,2015-01-04,2015,1,conventional,California,plu4225,0.93,2.26775526
2,2015-01-04,2015,1,conventional,California,plu4770,0.93,0.13747964000000001
3,2015-01-04,2015,1,conventional,GreatLakes,plu4046,1.02,0.46725946999999995
4,2015-01-04,2015,1,conventional,GreatLakes,plu4225,1.02,2.0596577099999998
5,2015-01-04,2015,1,conventional,GreatLakes,plu4770,1.02,0.31810238
6,2015-01-04,2015,1,conventional,Midsouth,plu4046,1.1,0.57524544
7,2015-01-04,2015,1,conventional,Midsouth,plu4225,1.1,1.31150253
8,2015-01-04,2015,1,conventional,Midsouth,plu4770,1.1,0.18105865
9,2015-01-04,2015,1,conventional,Northeast,plu4046,1.09,0.12664065
10,2015-01-04,2015,1,conventional,Northeast,plu4225,1.09,2.86070993
11,2015-01-04,2015,1,conventional,Northeast,plu4770,1.09,0.00758038
12,2015-01-04,2015,1,conventional,Plains,plu4046,1.01,1.0278423
13,2015-01-04,2015,1,conventional,Plains,plu4225,1.01,0.46664112
14,2015-01-04,2015,1,conventional,Plains,plu4770,1.01,0.010476889999999999
15,2015-01-04,2015,1,conventional,SouthCentral,plu4046,0.77,2.7450091000000003
16,2015-01-04,2015,1,conventional,SouthCentral,plu4225,0.77,1.75514221
17,2015-01-04,2015,1,conventional,SouthCentral,plu4770,0.77,0.07343289
18,2015-01-04,2015,1,conventional,Southeast,plu4046,0.98,2.29606927
19,2015-01-04,2015,1,conventional,Southeast,plu4225,0.98,0.32037363
20,2015-01-04,2015,1,conventional,Southeast,plu4770,0.98,0.018938419999999997
21,2015-01-04,2015,1,conventional,West,plu4046,0.89,2.27544687
22,2015-01-04,2015,1,conventional,West,plu4225,0.89,2.58230065
23,2015-01-04,2015,1,conventional,West,plu4770,0.89,0.09702409
24,2015-01-04,2015,1,organic,California,plu4046,1.24,0.10749072999999999
25,2015-01-04,2015,1,organic,California,plu4225,1.24,0.02571196
26,2015-01-04,2015,1,organic,California,plu4770,1.24,2.9300000000000003e-06
27,2015-01-04,2015,1,organic,GreatLakes,plu4046,1.54,0.0036339299999999996
28,2015-01-04,2015,1,organic,GreatLakes,plu4225,1.54,0.04296306
29,2015-01-04,2015,1,organic,GreatLakes,plu4770,1.54,0.0
30,2015-01-04,2015,1,organic,Midsouth,plu4046,1.56,0.01004966
31,2015-01-04,2015,1,organic,Midsouth,plu4225,1.56,0.02522837
32,2015-01-04,2015,1,organic,Midsouth,plu4770,1.56,0.00367289
33,2015-01-04,2015,1,organic,Northeast,plu4046,1.88,0.00447673
34,2015-01-04,2015,1,organic,Northeast,plu4225,1.88,0.02238909
35,2015-01-04,2015,1,organic,Northeast,plu4770,1.88,2.3149999999999997e-05
36,2015-01-04,2015,1,organic,Plains,plu4046,1.69,0.0038743099999999997
37,2015-01-04,2015,1,organic,Plains,plu4225,1.69,0.01494534
38,2015-01-04,2015,1,organic,Plains,plu4770,1.69,3.245e-05
39,2015-01-04,2015,1,organic,SouthCentral,plu4046,1.35,0.02413972
40,2015-01-04,2015,1,organic,SouthCentral,plu4225,1.35,0.008586459999999999
41,2015-01-04,2015,1,organic,SouthCentral,plu4770,1.35,0.0
42,2015-01-04,2015,1,organic,Southeast,plu4046,1.75,0.00930734
43,2015-01-04,2015,1,organic,Southeast,plu4225,1.75,0.00384481
44,2015-01-04,2015,1,organic,Southeast,plu4770,1.75,0.00061528
45,2015-01-04,2015,1,organic,West,plu4046,1.4,0.07031371
46,2015-01-04,2015,1,organic,West,plu4225,1.4,0.07294211
47,2015-01-04,2015,1,organic,West,plu4770,1.4,2.43e-05
48,2015-01-11,2015,1,conventional,California,plu4046,0.92,2.8895912900000003
49,2015-01-11,2015,1,conventional,California,plu4225,0.92,2.4857201
50,2015-01-11,2015,1,conventional,California,plu4770,0.92,0.10357342
51,2015-01-11,2015,1,conventional,GreatLakes,plu4046,1.1,0.4169003
52,2015-01-11,2015,1,conventional,GreatLakes,plu4225,1.1,1.81861804
53,2015-01-11,2015,1,conventional,GreatLakes,plu4770,1.1,0.31685673
54,2015-01-11,2015,1,conventional,Midsouth,plu4046,1.17,0.5601191600000001
55,2015-01-11,2015,1,conventional,Midsouth,plu4225,1.17,1.03260649
56,2015-01-11,2015,1,conventional,Midsouth,plu4770,1.17,0.19151519
57,2015-01-11,2015,1,conventional,Northeast,plu4046,1.28,0.09734355
58,2015-01-11,2015,1,conventional,Northeast,plu4225,1.28,2.07066143
59,2015-01-11,2015,1,conventional,Northeast,plu4770,1.28,0.00691547
60,2015-01-11,2015,1,conventional,Plains,plu4046,1.09,0.73736386
